---
season: 2021-22
division: d1
gender: women
duals: 4807
description: schedule/scoreboard from team websites
---
source	id	date	time	timeZone	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	tournament	timeDisplay	location	facility	tv	radio	links
 MONM	 18090	2021-10-07	 3:00pm	   	W	  	MONM 	at	  	LAF  	W	4-3	 	 				3:00 PM	Easton, PA				[Recap](/news/2021/10/8/womens-tennis-womens-tennis-tops-lafayette-in-road-tilt.aspx)
OMAHA	 17433	2021-10-08	12:30pm	   	W	  	MIDLN	at	  	OMAHA	L	1-6	 	 				12:30 p.m.	Omaha, NE	[KOCH TENNIS CENTER](https://parks.cityofomaha.org/koch-family-outdoor-tennis-center)			
 MONM	 18086	2021-10-08	 3:00pm	   	W	  	MONM 	at	  	URI  	L	1-6	 	 				3 PM	Kingston, RI				[Recap](/news/2021/10/8/womens-tennis-hawks-drop-non-conference-match-to-rhode-island.aspx)
RIDER	 10410	2021-10-09	11:00am	   	W	  	RIDER	at	  	LAF  	L	3-4	 	 				11:00 AM	Easton, PA				[Recap](/news/2021/10/9/womens-tennis-edged-at-lafayette-4-3.aspx)
 FORD	  9938	2021-10-09	11:00am	   	W	  	WAG  	at	  	FORD 	L	1-6	 	 				11:00 AM	Bronx, NY	Hawthorn/Rooney Tennis Courts			[Box Score](/sports/womens-tennis/stats/2021-22/wagner-college/boxscore/9938) [Recap](/news/2021/10/11/womens-tennis-womens-tennis-defeats-wagner-6-1.aspx)
 MRMK	 10702	2021-10-12	 3:00pm	   	W	  	MRMK 	at	  	ENDCT	W	7-2	 	 				3:00 PM	Beverly, MA				[Recap](/news/2021/10/13/dominant-performances-across-the-board-propels-womens-tennis-against-endicott.aspx)
 MRMK	 10748	2021-10-15	 1:00pm	   	W	  	MRMK 	at	  	BRY  	W	4-3	 	 				1:00 PM	Smithfield, RI				[Recap](/news/2021/10/19/womens-tennis-finishes-undefeated-fall-season-against-bryant.aspx)
 MONM	 18091	2021-10-15	 3:30pm	   	W	  	WAG  	at	  	MONM 	L	2-5	 	 				3:30 PM	West Long Branch, NJ	[Outdoor Tennis Complex](/facilities/?id=9)			[Recap](/news/2021/10/15/womens-tennis-monmouth-claims-home-win-versus-wagner.aspx)
  SFC	  7328	2021-10-16	12:00pm	   	W	  	SFC  	at	  	WAG  	L	3-4	 	 				12:00 PM	Staten Island, NY				[Box Score](/sports/womens-tennis/stats/2021-2022/wagner-college/boxscore/7328)
 COLG	  8976	2021-10-17	 4:30pm	   	W	  	DAEMN	at	  	COLG 	L	0-7	 	 				4:30 PM	Hamilton	[J. W. Abrahamson Tennis Courts](/facilities/?id=13)			[Box Score](/sports/womens-tennis/stats/2021-22/daemen/boxscore/8976) [Recap](/news/2021/10/17/womens-tennis-raiders-blank-daemen-7-0.aspx)
   HC	  9542	2021-10-20	 3:30pm	   	W	  	AC   	at	  	HC   	L	3-4	 	 				3:30 PM	Worcester, MA	[Sinnott Family Tennis Facility](/facilities/?id=13)			[Recap](/news/2021/10/20/womens-tennis-womens-tennis-tops-assumption-in-fall-finale.aspx) [Final Results](/documents/2021/10/20/HCWT08.pdf)
 FGCU	 10674	2021-10-22	 1:00pm	   	W	  	KEISR	at	  	FGCU 	L	1-6	 	 				1 PM	Fort Myers, FL	[FGCU Tennis Complex](/facilities/?id=6)			[Box Score](/sports/womens-tennis/stats/2021-22/keiser-university/boxscore/10674) [Recap](/news/2021/10/22/womens-tennis-cruises-to-victory-over-keiser.aspx)
 MONM	 19155	2021-10-22	 3:00pm	   	W	  	     	at	  	MONM 	L	2-5	 	 				3 PM	West Long Branch, NJ	[Outdoor Tennis Complex](/facilities/?id=9)			[Recap](/news/2021/10/22/womens-tennis-womens-tennis-bests-terriers-5-2.aspx)
  SFC	  7483	2021-10-22	 3:00pm	   	W	  	SFC  	at	  	MONM 	L	2-5	 	 				3:00 PM	West Long Branch, NJ				
 BING	 13300	2021-10-23	10:00am	   	W	  	BING 	vs	  	MERCY	L	3-4	N	 				10 a.m.	Williamsville, NY				[Recap](/news/2021/10/24/womens-tennis-womens-tennis-drops-pair-of-matches.aspx)
RIDER	 10374	2021-10-23	12:00pm	   	W	  	WAG  	at	  	RIDER	W	6-1	 	 				12:00 PM	Lawrenceville, NJ				[Box Score](/sports/womens-tennis/stats/2021-22/wagner-college/boxscore/10374) [Recap](/news/2021/10/23/womens-tennis-falls-to-wagner-6-1.aspx)
 FAIR	 12382	2021-10-23	 2:30pm	   	W	  	SHU  	at	  	FAIR 	L	3-4	 	 				2:30 PM	Fairfield, CT	[WAC Tennis Courts](/facilities/?id=14)			[Box Score](/sports/womens-tennis/stats/2021-22/sacred-heart/boxscore/12382) [Recap](/news/2021/10/23/womens-tennis-two-weeks-later-stags-complete-4-3-win-over-sacred-heart.aspx)
 BING	 13215	2021-10-23	 6:00pm	   	W	  	BING 	at	  	BUFF 	L	0-7	 	 				6 p.m.	Buffalo, NY				[Recap](/news/2021/10/24/womens-tennis-womens-tennis-drops-pair-of-matches.aspx)
 MTST	  6052	2021-10-29	       	   	W	  	MTST 	at	  	WYO  	L	2-5	 	 					Casper, WY				[Recap](/news/2021/11/1/womens-tennis-wyoming-get-by-cats-in-casper.aspx)
  WYO	  5494	2021-10-29	 6:00pm	   	W	  	MTST 	at	  	WYO  	L	2-5	 	 				6 p.m.	Casper, WY	307 Tennis Club			[Recap](/news/2021/10/29/womens-tennis-cowgirls-down-montana-state-at-outreach-dual.aspx) [Results (.pdf)](/documents/2021/10/29/Wyo_vs_MSU.pdf)
 NJIT	  8197	2021-11-05	 9:00am	   	W	  	SELU 	at	  	NJIT 	L	0-7	 	 			Fall Schedule	9:00 am	Newark, NJ	[The Naimoli Family Athletic and Recreational Facility](/facilities/?id=131)			[Recap](/news/2021/11/5/womens-tennis-sweeps-home-matches-against-southeastern-louisiana-delaware.aspx)
  DEL	 29363	2021-11-05	 1:30pm	   	W	  	DEL  	vs	  	SELU 	W	6-1	N	 				1:30 p.m.	Newark, NJ				[Recap](/news/2021/11/5/womens-tennis-blue-hens-split-a-pair-of-matches-friday.aspx) [Box Score](/documents/2021/12/8/SELA_Box_Score.pdf)
 NJIT	  8198	2021-11-05	 5:00pm	   	W	  	DEL  	at	  	NJIT 	L	1-6	 	 			Fall Schedule	5:00 pm	Newark, NJ	[The Naimoli Family Athletic and Recreational Facility](/facilities/?id=131)			[Recap](/news/2021/11/5/womens-tennis-sweeps-home-matches-against-southeastern-louisiana-delaware.aspx)
  DEL	 29342	2021-11-05	 5:00pm	   	W	  	DEL  	at	  	NJIT 	L	1-6	 	 				5 p.m.	Newark, NJ				[Recap](/news/2021/11/5/womens-tennis-blue-hens-split-a-pair-of-matches-friday.aspx) [Box Score](/documents/2021/12/8/NJIT_Box_Score.pdf)
 TENN	 22465	2022-01-07	11:00am	   	W	22	TENN 	at	 3	UNC  	 	   	 	 			Tar Heel Invitational	11 AM	Chapel Hill, NC				[Recap](/news/2022/1/7/womens-tennis-doubles-shine-as-lady-vols-wrap-up-day-one-of-tar-heel-invitational.aspx) [Stream](https://web.playsight.com/live/university-of-north-carolina-unc-usa/104) [Live Stats](http://www.statbroadcast.com/events/statbroadcast.php?t=1&gid=unc)
 TENN	 23557	2022-01-09	11:00am	   	W	22	TENN 	at	 3	UNC  	 	   	 	 			Tar Heel Invitational	11 AM	Chapel Hill, NC				[Recap](/news/2022/1/9/womens-tennis-lady-vols-close-tar-heel-invitational-with-seven-wins-highlighted-by-top-20-victory.aspx) [Stream](https://web.playsight.com/live/university-of-north-carolina-unc-usa/104) [Live Stats](http://www.statbroadcast.com/events/statbroadcast.php?t=1&gid=unc)
   UK	  9460	2022-01-14	 9:00am	   	W	  	ETSU 	at	  	UK   	L	3-4	 	 			Doubleheader	9 a.m.	Lexington, KY	[Hilary J. Boone Tennis Complex](/facilities/?id=129)			[Recap](/news/2022/1/14/womens-tennis-kentucky-womens-tennis-defeats-etsu-in-fridays-doubleheader.aspx) [Box Score](/documents/2022/1/14/UK_vs_ETSU_Match_1.pdf)
  TOL	 21297	2022-01-14	10:00am	   	W	  	FGCU 	vs	  	TOL  	W	5-2	N	 			FGCU Weekend Kickoff	10:00 a.m.	Fort Myers, FL				[Box Score](/sports/womens-tennis/stats/2021-22/fgcu/boxscore/21297) [Recap](/news/2022/1/14/womens-tennis-toledo-falls-to-fgcu-in-season-opener.aspx)
 FGCU	 10676	2022-01-14	10:00am	   	W	  	TOL  	at	  	FGCU 	L	2-5	 	 				10 AM	Fort Myers, FL	[FGCU Tennis Complex](/facilities/?id=6)			[Box Score](/sports/womens-tennis/stats/2021-22/toledo/boxscore/10676) [Recap](/news/2022/1/14/womens-tennis-takes-down-toledo-in-spring-season-opener.aspx)
 KENN	  9544	2022-01-14	12:00pm	   	W	  	KENN 	at	  	WOF  	W	5-2	 	 				12 PM	Spartanburg, SC				[Recap](/news/2022/1/14/womens-tennis-ksu-secures-first-season-opener-since-2011.aspx)
  WOF	  8693	2022-01-14	12:00pm	   	W	  	KENN 	at	  	WOF  	W	5-2	 	 				12:00 PM	Spartanburg, SC	[Reeves Tennis Center](/facilities/?id=5)			[Box Score](/sports/womens-tennis/stats/2021-22/kennesaw-state-university/boxscore/8693) [Recap](/news/2022/1/14/womens-tennis-womens-tennis-opens-season-against-ksu.aspx)
  NEV	 10768	2022-01-14	 2:00pm	   	W	  	NEV  	at	  	BIOLA	W	5-2	 	 				2 P.M.	Los Angeles, CA				[Box Score](/sports/womens-tennis/stats/2021-22/biola-university-calif-/boxscore/10768) [Recap](/news/2022/1/14/womens-tennis-pack-opens-season-with-win-at-biola.aspx)
   UK	  9492	2022-01-14	 2:30pm	   	W	  	ETSU 	at	  	UK   	L	3-4	 	 			Doubleheader	2:30 p.m.	Lexington, KY	[Hilary J. Boone Tennis Complex](/facilities/?id=129)			[Recap](/news/2022/1/14/womens-tennis-kentucky-womens-tennis-defeats-etsu-in-fridays-doubleheader.aspx) [Box Score](/documents/2022/1/14/UK_vs_ETSU_Match_2.pdf)
  HAW	 27022	2022-01-14	 2:30pm	   	W	  	KSU  	at	  	HAW  	C	   	 	 				2:30 p.m.	Honolulu, O‘ahu	UH Tennis Complex			
  MEM	 17904	2022-01-14	 2:30pm	   	W	  	UNA  	at	  	MEM  	L	0-7	 	 				2:30 PM	Memphis, TN	Eldon Roark TC			[Recap](/news/2022/1/17/womens-tennis-tigers-start-season-with-3-0-weekend.aspx)
  UNA	  3646	2022-01-14	 2:30pm	   	W	  	UNA  	at	  	MEM  	L	0-7	 	 				2:30 PM	Memphis, TN				[Box Score](/sports/womens-tennis/stats/2021-22/memphis/boxscore/3646) [Recap](/news/2022/1/18/womens-tennis-womens-tennis-drops-season-opener-at-memphis.aspx)
  SJU	 13346	2022-01-14	 5:00pm	   	W	  	SJU  	at	  	PSU  	C	   	 	 				5 p.m.	University Park, PA				
  PSU	 15808	2022-01-14	 5:00pm	   	W	  	SJU  	at	  	PSU  	C	   	 	 				5:00 PM	University Park, PA				
  UNA	  3805	2022-01-14	 5:30pm	   	W	  	UNA  	at	  	MEM  	L	0-7	 	 				5:30 PM	Memphis, TN				[Box Score](/sports/womens-tennis/stats/2021-22/memphis/boxscore/3805) [Recap](/news/2022/1/18/womens-tennis-womens-tennis-drops-season-opener-at-memphis.aspx)
  XAV	  9474	2022-01-14	 6:00pm	   	W	  	NKU  	at	  	XAV  	L	1-6	 	 				6 PM	Cincinnati, OH	[Eastern Hills Indoor Tennis Club](http://ehitennis.com/)			[Box Score](/sports/womens-tennis/stats/2021-22/northern-kentucky/boxscore/9474) [Recap](/news/2022/1/14/womens-tennis-opens-2022-with-6-1-win-over-nku.aspx) [Results](/documents/2022/1/14/XUW01.pdf)
  MEM	 17926	2022-01-14	 6:00pm	   	W	  	UNA  	at	  	MEM  	L	0-7	 	 				6:00 p.m.	Memphis, TN	Eldon Roark TC			[Recap](/news/2022/1/17/womens-tennis-tigers-start-season-with-3-0-weekend.aspx)
  UNC	 23241	2022-01-15	11:00am	   	W	  	ELON 	at	 3	UNC  	L	0-7	 	 				11 AM	Chapel Hill				[Recap](/news/2022/1/15/-3-womens-tennis-sweep-elon-app-state.aspx)
 ELON	  7588	2022-01-15	11:00am	   	W	  	ELON 	at	 3	UNC  	L	0-7	 	 				11:00 a.m.	Chapel Hill, NC				[Box Score](/sports/womens-tennis/stats/2021-22/north-carolina/boxscore/7588) [Recap](/news/2022/1/15/womens-tennis-falls-to-no-3-north-carolina-in-season-opener.aspx)
  UNC	 23243	2022-01-15	 3:30pm	   	W	  	APP  	at	 3	UNC  	L	0-7	 	 				3:30 PM	Chapel Hill				[Recap](/news/2022/1/15/-3-womens-tennis-sweep-elon-app-state.aspx)
 MRSH	  8321	2022-01-15	10:00am	   	W	  	MRSH 	at	 7	UVA  	L	0-7	 	 				10:00 AM	Charlottesville, VA				[Recap](/news/2022/1/15/womens-tennis-herd-tennis-splits-pair-of-duals-in-virginia.aspx) [Box Score](/documents/2022/1/15/vaw0115a.pdf)
   LU	  7950	2022-01-15	 4:00pm	   	W	  	LU   	at	 7	UVA  	L	0-7	 	 				4 p.m.	Charlottesville, VA				[Box Score](/sports/womens-tennis/stats/2021-22/university-of-virginia/boxscore/7950) [Recap](/news/2022/1/15/longwood-womens-tennis-opens-season-against-7-virginia-marshall.aspx)
  BAY	 27628	2022-01-15	 2:00pm	   	W	11	BAY  	vs	  	BYU  	L	3-4	N	 			Bella the Ball Collegiate Invitational	2 PM	Las Vegas, NV	Darling Tennis Center			[Box Score](/sports/womens-tennis/stats/2021-22/byu/boxscore/27628) [Recap](/news/2022/1/15/womens-tennis-no-11-wt-falls-to-byu-in-season-opener.aspx)
 PRIN	 17733	2022-01-15	11:00am	   	W	23	PRIN 	at	  	FIU  	 	   	 	 				11:00 AM	Miami, FL				
ABCHR	  8411	2022-01-15	    TBA	   	W	  	ABCHR	at	  	TCU  	L	0-4	 	 					Fort Worth, TX				[Box Score](/sports/womens-tennis/stats/2021-22/tcu/boxscore/8411) [Recap](/news/2022/1/15/womens-tennis-stewart-impresses-on-first-day-of-season-for-acu.aspx)
ABCHR	  8412	2022-01-15	    TBA	   	W	  	ABCHR	vs	  	UNT  	L	0-4	N	 					Fort Worth, TX				[Box Score](/sports/womens-tennis/stats/2021-22/north-texas/boxscore/8412) [Recap](/news/2022/1/15/womens-tennis-stewart-impresses-on-first-day-of-season-for-acu.aspx)
 JVST	  6498	2022-01-15	    TBA	   	W	  	JVST 	at	  	MSST 	L	0-7	 	 					Starkville, MS				[Box Score](/sports/womens-tennis/stats/2021-22/mississippi-state/boxscore/6498) [Recap](/news/2022/1/15/womens-tennis-falls-at-mississippi-state.aspx) [Box Score (PDF)](/documents/2022/1/15/JSU_vs_Mississippi_State.pdf)
 MTST	  6054	2022-01-15	       	   	W	  	MTST 	vs	  	TULSA	L	0-7	N	 					Tulsa. OK				[Box Score](/sports/womens-tennis/stats/2021-22/tulsa/boxscore/6054) [Recap](/news/2022/1/15/womens-tennis-bobcats-split-matches-at-hurricane-invitational.aspx)
  WYO	  5495	2022-01-15	All Day	   	W	  	MTST 	vs	  	WYO  	W	4-3	N	 					Tulsa, OK				[Recap](/news/2022/1/16/womens-tennis-cowgirls-finish-competition-in-tulsa.aspx) [Results (.pdf)](/documents/2022/1/16/MSU_4_Wyoming_3.pdf)
  UCR	 13337	2022-01-15	       	   	W	  	NEV  	at	  	UCR  	W	7-0	 	 					Riverside, CA	[SRC Tennis Courts](/facilities/?id=34)			[Box Score](/sports/womens-tennis/stats/2021-22/nevada/boxscore/13337) [Recap](/news/2022/1/15/womens-tennis-highlanders-drop-home-match-to-nevada.aspx)
 MINN	 19435	2022-01-15	 7:00am	   	W	  	LIB  	vs	  	MINN 	L	1-6	N	 			Florida Gulf Coast Hidden Dual	7:00 AM	Fort Myers, FL				[Box Score](/sports/womens-tennis/stats/2021-22/liberty-university/boxscore/19435) [Recap](/news/2022/1/15/womens-tennis-minnesota-starts-fgcu-hidden-dual-tournament-2-0.aspx)
  WYO	  5538	2022-01-15	 7:30am	   	W	  	LT   	vs	  	WYO  	W	4-3	N	 				7:30 a.m.	Tulsa, OK				[Recap](/news/2022/1/15/womens-tennis-cowgirls-drop-tough-match-to-open-spring.aspx) [Results (.pdf)](/documents/2022/1/15/LTU_4_WYO_3.pdf)
 FGCU	 10677	2022-01-15	 8:00am	   	W	  	GAST 	at	  	FGCU 	L	2-4	 	 				8 AM	Fort Myers, FL	[FGCU Tennis Complex](/facilities/?id=6)			[Box Score](/sports/womens-tennis/stats/2021-22/georgia-state/boxscore/10677) [Recap](/news/2022/1/15/womens-tennis-rolls-past-georgia-state-falls-to-minnesota.aspx)
 GAST	  8208	2022-01-15	 8:00am	   	W	  	GAST 	at	  	FGCU 	L	2-4	 	 				8:00 AM	Fort Myers, FL				[Box Score](/sports/womens-tennis/stats/2021-22/florida-gulf-coast/boxscore/8208) [Recap](/news/2022/1/18/womens-tennis-womens-tennis-wraps-up-saturday-doubleheader-in-florida.aspx)
   LT	 10648	2022-01-15	 8:30am	   	W	  	LT   	vs	  	WYO  	W	4-3	N	 			Hurricane Invite	8:30 a.m.	Tulsa, OK				[Box Score](/sports/womens-tennis/stats/2021-22/wyoming/boxscore/10648) [Recap](/news/2022/1/15/womens-tennis-la-tech-defeats-wyoming-4-3-in-spring-opener.aspx)
TULSA	 14491	2022-01-15	 8:30am	   	W	  	MTST 	at	  	TULSA	L	0-7	 	 			The Hurricane Invite	8:30 AM	Tulsa, OK				[Recap](/news/2022/1/15/womens-tennis-tulsa-downs-montana-state-to-open-the-hurricane-invite.aspx) [TU-MSU Box](/documents/2022/1/18/TU_MSU_Box.pdf)
 UTAH	 20839	2022-01-15	 9:00am	MT 	W	  	DIX  	at	  	UTAH 	L	0-7	 	 				9:00 AM MT	Salt Lake City, UT				[Box Score](/sports/womens-tennis/stats/2021-22/dixie-state/boxscore/20839) [Recap](/news/2022/1/15/womens-tennis-womens-tennis-opens-season-with-two-wins.aspx)
  TCU	 17468	2022-01-15	 9:00am	   	W	  	IWORD	at	  	TCU  	L	0-4	 	 				9 AM	Fort Worth, TX				[Recap](/news/2022/1/15/womens-tennis-tcu-opens-2022-with-a-pair-of-sweeps.aspx)
IWORD	  5715	2022-01-15	 9:00am	   	W	  	IWORD	at	  	TCU  	L	0-4	 	 				9 a.m.	Fort Worth, TX				[Box Score](/sports/womens-tennis/stats/2021-22/texas-christian-university/boxscore/5715) [Box Score (PDF)](/documents/2022/1/15/TCU_4_UIW_0.pdf)
  UCD	 19874	2022-01-15	10:00am	PDT	W	  	UCD  	at	  	AZST 	C	   	 	 				10 a.m. PDT	Tempe, AZ				
 AZST	 29293	2022-01-15	10:00am	MST	W	  	UCD  	at	  	AZST 	C	   	 	 				10:00 AM MST	Tempe, AZ				
  FUR	  7702	2022-01-15	10:00am	   	W	  	VCU  	at	  	FUR  	L	2-5	 	 				10:00 AM	GREENVILLE				[Box Score](/sports/womens-tennis/stats/2021-22/virginia-commonwealth/boxscore/7702) [Recap](/news/2022/1/15/womens-tennis-seniors-lead-furman-to-opening-day-victories-over-vcu-emmanuel.aspx)
  SYR	 14402	2022-01-15	11:00am	   	W	  	ARMY 	at	  	SYR  	L	1-6	 	 				11 AM		[Drumlins Country Club](/facilities/?id=4)			[Box Score](/sports/womens-tennis/stats/2021-22/army/boxscore/14402) [Recap](/news/2022/1/15/tennis-orange-dominate-in-season-opener.aspx)
 MTSU	  8763	2022-01-15	11:00am	   	W	  	FAU  	vs	  	MTSU 	W	6-1	N	 				11:00 a.m.	Fort Myers, FL	[FGCU Tennis Complex](https://fgcuathletics.com/facilities/fgcu-tennis-complex/6)			[Box Score](/sports/womens-tennis/stats/2021-22/florida-atlantic/boxscore/8763) [Recap](/news/2022/1/15/womens-tennis-blue-raiders-fall-in-season-opener-against-fau.aspx) [Box Score (PDF)](/documents/2022/1/15/Box_Score_MTSU_FAU.pdf)
 KENN	  9548	2022-01-15	11:00am	   	W	  	KENN 	at	  	PRES 	W	7-0	 	 				11 AM	Clinton, SC				[Box Score](/sports/womens-tennis/stats/2021-22/presbyterian/boxscore/9548)
 PRES	 12296	2022-01-15	11:00am	   	W	  	KENN 	at	  	PRES 	W	7-0	 	 				11:00 AM	Clinton, SC				[Box Score](/sports/womens-tennis/stats/2021-22/kennesaw-state/boxscore/12296) [Recap](/news/2022/1/15/kennesaw-state-spoils-womens-tennis-home-opener.aspx)
  NEV	 10769	2022-01-15	11:00am	   	W	  	NEV  	at	  	UCR  	W	7-0	 	 				11 A.M.	Riverside, CA				[Box Score](/sports/womens-tennis/stats/2021-22/uc-riverside/boxscore/10769) [Recap](/news/2022/1/15/womens-tennis-pack-wraps-perfect-weekend-with-sweep-at-uc-riverside.aspx)
  HAW	 27137	2022-01-15	11:00am	   	W	  	WASH 	at	  	HAW  	W	6-1	 	 				11:00 a.m.	Honolulu, O‘ahu	UH Tennis Complex			[Box Score](/sports/womens-tennis/stats/2021-2022/washington/boxscore/27137)
